rainfall_mm,temperature_c,humidity,wind_speed,solar_radiation,soil_moisture,n_avg,p_avg,k_avg
159.4375,26.68,72.9625,0.9525,14.5425,0.613379032,252.106083,13.50799271,86.68338991
21.44,18.83,60.57,1.083333333,13.97666667,0.560637993,252.106083,13.50799271,86.68338991
147.655,26.825,71.7675,0.9675,15.155,0.606040323,258.5703415,13.6720574,89.45654273
147.655,26.825,71.7675,0.9675,15.155,0.606040323,258.5703415,13.6720574,89.45654273
18.47333333,18.92,60.16666667,1.066666667,13.64333333,0.549863799,258.5703415,13.6720574,89.45654273
142.19,26.605,70.8775,0.9775,14.085,0.578134409,265.2003503,13.83811478,92.31841355
142.19,26.605,70.8775,0.9775,14.085,0.578134409,265.2003503,13.83811478,92.31841355
25.5,18.93,62.30333333,1.073333333,13.42,0.564860215,265.2003503,13.83811478,92.31841355
322.4725,24.9025,84.0725,0.96,14.1675,0.763303763,272.0003592,14.00618905,95.27184061
322.4725,24.9025,84.0725,0.96,14.1675,0.763303763,272.0003592,14.00618905,95.27184061
54.28,17.44,78.47666667,1.146666667,14.4,0.710344086,272.0003592,14.00618905,95.27184061
307.8475,25.3875,82.11,0.9925,15.0875,0.729685484,278.9747274,14.17630471,98.31975295
307.8475,25.3875,82.11,0.9925,15.0875,0.729685484,278.9747274,14.17630471,98.31975295
53.89,17.13666667,77.58333333,1.023333333,12.88333333,0.707870968,278.9747274,14.17630471,98.31975295
361.8575,24.86,86.095,0.9025,13.4625,0.885766129,359.765016,15.95137545,129.7190631
361.8575,24.86,86.095,0.9025,13.4625,0.885766129,359.765016,15.95137545,129.7190631
56.87333333,17.44,79.83,1.08,12.76,0.851498208,359.765016,15.95137545,129.7190631
297.505,24.9575,84.215,0.94,14.9825,0.772155914,363.399006,16.03153311,131.6944803
297.505,24.9575,84.215,0.94,14.9825,0.772155914,363.399006,16.03153311,131.6944803
22.48,17.31,76.18666667,1.163333333,14.03666667,0.698121864,363.399006,16.03153311,131.6944803
403.0025,24.9775,86.9775,0.99,13.3,0.835553763,367.0697031,16.11209358,133.69998
403.0025,24.9775,86.9775,0.99,13.3,0.835553763,367.0697031,16.11209358,133.69998
47.79333333,17.83666667,78.57666667,1.236666667,14.21333333,0.841086022,367.0697031,16.11209358,133.69998
284.9,25.27,86.5075,1.015,15.9725,0.797284946,370.7774779,16.19305888,135.7360203
284.9,25.27,86.5075,1.015,15.9725,0.797284946,370.7774779,16.19305888,135.7360203
53.31,17.20333333,78.42666667,1.21,13.45666667,0.759767025,370.7774779,16.19305888,135.7360203
291.7775,25.17,85.765,1.0275,14.06,0.741524194,374.5227049,16.27443103,137.8030663
291.7775,25.17,85.765,1.0275,14.06,0.741524194,374.5227049,16.27443103,137.8030663
15.39666667,18.24,77.13333333,1.216666667,14.36666667,0.701003584,374.5227049,16.27443103,137.8030663
134.305,9.9375,81.34,1.9875,16.0825,0.747241935,132.5133544,9.560478841,35.15625732
134.305,9.9375,81.34,1.9875,16.0825,0.747241935,132.5133544,9.560478841,35.15625732
13.87,0.063333333,76.14666667,1.84,12.75333333,0.728921147,132.5133544,9.560478841,35.15625732
161.3125,10.715,83.345,2.035,15.45,0.814370968,136.6117056,9.755590654,36.62110138
161.3125,10.715,83.345,2.035,15.45,0.814370968,136.6117056,9.755590654,36.62110138
27.30666667,1.786666667,70.90333333,1.823333333,12.97,0.791326165,136.6117056,9.755590654,36.62110138
103.3275,10.89,80.3425,1.9925,15.2275,0.676258065,140.8368099,9.954684341,38.1469806
103.3275,10.89,80.3425,1.9925,15.2275,0.676258065,140.8368099,9.954684341,38.1469806
24.99,1.456666667,72.80333333,1.773333333,12.86666667,0.695272401,140.8368099,9.954684341,38.1469806
125.9825,10.6275,82.07,2.0625,14.0275,0.735860215,165.107378,12.44724219,50.17675087
125.9825,10.6275,82.07,2.0625,14.0275,0.735860215,165.107378,12.44724219,50.17675087
11.18333333,1.283333333,69.31666667,1.806666667,12.65,0.71565233,165.107378,12.44724219,50.17675087
117.5325,11.19,80.0525,2.0475,15.3175,0.680860215,169.3409006,12.59842327,51.78199264
117.5325,11.19,80.0525,2.0475,15.3175,0.680860215,169.3409006,12.59842327,51.78199264
25.95666667,1.126666667,71.43333333,1.776666667,12.98333333,0.730713262,169.3409006,12.59842327,51.78199264
133.76,10.415,81.8625,1.9625,13.8475,0.770032258,173.6829749,12.75144056,53.4385889
133.76,10.415,81.8625,1.9625,13.8475,0.770032258,173.6829749,12.75144056,53.4385889
143.69,10.765,82.515,2.015,13.03,0.727048387,178.1363845,12.90631636,55.14818256
143.69,10.765,82.515,2.015,13.03,0.727048387,178.1363845,12.90631636,55.14818256
126.43,10.2525,83.025,1.965,13.725,0.822543011,182.7039841,13.06307323,56.9124691
126.43,10.2525,83.025,1.965,13.725,0.822543011,182.7039841,13.06307323,56.9124691
102.9375,11.005,80.305,2.04,14.8275,0.710467742,187.3887017,13.22173404,58.73319825
102.9375,11.005,80.305,2.04,14.8275,0.710467742,187.3887017,13.22173404,58.73319825
95.8725,11.315,80.0125,1.9925,15.14,0.679975806,192.1935402,13.38232191,60.61217569
95.8725,11.315,80.0125,1.9925,15.14,0.679975806,192.1935402,13.38232191,60.61217569
107.4625,10.8875,78.9475,2.0975,14.2775,0.647231183,197.1215797,13.54486023,62.55126491
107.4625,10.8875,78.9475,2.0975,14.2775,0.647231183,197.1215797,13.54486023,62.55126491
133.1925,10.575,81.685,2.02,13.98,0.75036828,202.1759792,13.7093727,64.55238896
133.1925,10.575,81.685,2.02,13.98,0.75036828,202.1759792,13.7093727,64.55238896
120.4425,11.24,79.885,2.085,15.2975,0.698013441,207.3599786,13.8758833,66.61753247
120.4425,11.24,79.885,2.085,15.2975,0.698013441,207.3599786,13.8758833,66.61753247
143.9525,10.52,84.3175,1.9875,13.2575,0.867075269,267.4108394,15.6133371,87.89244926
143.9525,10.52,84.3175,1.9875,13.2575,0.867075269,267.4108394,15.6133371,87.89244926
114.1425,10.685,81.475,1.9875,14.99,0.727158602,270.111959,15.69179608,89.23091295
114.1425,10.685,81.475,1.9875,14.99,0.727158602,270.111959,15.69179608,89.23091295
160.55,10.605,83.9025,2.0975,13.05,0.808110215,272.8403626,15.77064933,90.58975934
160.55,10.605,83.9025,2.0975,13.05,0.808110215,272.8403626,15.77064933,90.58975934
136.4075,10.93,83.2875,2.0125,15.8975,0.826142473,275.5963259,15.84989882,91.96929883
136.4075,10.93,83.2875,2.0125,15.8975,0.826142473,275.5963259,15.84989882,91.96929883
139.665,10.6375,83.99,2.0725,14.2425,0.783919355,278.3801271,15.92954655,93.36984652
139.665,10.6375,83.99,2.0725,14.2425,0.783919355,278.3801271,15.92954655,93.36984652
355.4375,19.05,87.6075,1.8225,15.795,0.902387097,247.5089191,9.203317666,91.19870635
355.4375,19.05,87.6075,1.8225,15.795,0.902387097,247.5089191,9.203317666,91.19870635
18.01,10.75666667,80.48,1.463333333,13.4,0.769591398,247.5089191,9.203317666,91.19870635
390.455,19.6625,89.0775,1.9625,16.595,0.898741935,255.1638342,9.391140475,94.99865245
390.455,19.6625,89.0775,1.9625,16.595,0.898741935,255.1638342,9.391140475,94.99865245
36.7,12.73,73.94,1.533333333,13.19333333,0.75074552,255.1638342,9.391140475,94.99865245
324.0075,19.6775,86.035,1.755,15.9525,0.797491935,263.0554991,9.582796403,98.95692963
324.0075,19.6775,86.035,1.755,15.9525,0.797491935,263.0554991,9.582796403,98.95692963
53.18,12.02666667,77.76666667,1.53,12.62,0.808698925,263.0554991,9.582796403,98.95692963
381.35,19.55,87.5625,1.865,14.47,0.90863172,308.3881535,11.98223707,130.1633085
381.35,19.55,87.5625,1.865,14.47,0.90863172,308.3881535,11.98223707,130.1633085
26.93666667,11.88666667,75.91666667,1.51,12.30666667,0.775598566,308.3881535,11.98223707,130.1633085
267.8525,20.0525,84.915,1.7625,15.3425,0.788594086,316.2955421,12.12777031,134.3274598
267.8525,20.0525,84.915,1.7625,15.3425,0.788594086,316.2955421,12.12777031,134.3274598
45.33,11.93,76.97333333,1.483333333,13.29,0.782089606,316.2955421,12.12777031,134.3274598
302.0175,19.385,85.6925,1.7225,13.4825,0.82522043,324.4056842,12.27507117,138.6248295
302.0175,19.385,85.6925,1.7225,13.4825,0.82522043,324.4056842,12.27507117,138.6248295
32.59,11.5,77.7,1.446666667,13.17333333,0.769,324.4056842,12.27507117,138.6248295
368.6425,19.6175,87.485,1.7925,13.6775,0.867198925,332.7237787,12.4241611,143.0596796
368.6425,19.6175,87.485,1.7925,13.6775,0.867198925,332.7237787,12.4241611,143.0596796
62.63666667,11.67,81.88666667,1.42,11.57666667,0.839014337,332.7237787,12.4241611,143.0596796
343.3075,19.1375,88.1525,1.7775,13.5375,0.930962366,341.2551576,12.57506184,147.6364082
343.3075,19.1375,88.1525,1.7775,13.5375,0.930962366,341.2551576,12.57506184,147.6364082
71.88,11.03666667,78.23666667,1.486666667,12.48666667,0.811824373,341.2551576,12.57506184,147.6364082
287.6825,19.7875,85.7325,1.76,14.905,0.867215054,350.0052898,12.72779539,152.3595544
287.6825,19.7875,85.7325,1.76,14.905,0.867215054,350.0052898,12.72779539,152.3595544
40.30666667,11.52666667,78.21333333,1.456666667,13.47333333,0.771376344,350.0052898,12.72779539,152.3595544
284.4875,19.925,84.685,1.77,15.12,0.83869086,358.9797845,12.882384,157.2338023
284.4875,19.925,84.685,1.77,15.12,0.83869086,358.9797845,12.882384,157.2338023
48.5,11.65333333,79.08,1.456666667,12.32666667,0.768275986,358.9797845,12.882384,157.2338023
427.3925,19.485,86.6075,1.8,14.1525,0.922228495,368.1843943,13.0388502,162.2639858
427.3925,19.485,86.6075,1.8,14.1525,0.922228495,368.1843943,13.0388502,162.2639858
45.97,11.86333333,78.73666667,1.463333333,12.86333333,0.771297491,368.1843943,13.0388502,162.2639858
380.9475,19.255,88.0225,1.815,13.57,0.925752688,377.6250198,13.1972168,167.4550937
380.9475,19.255,88.0225,1.815,13.57,0.925752688,377.6250198,13.1972168,167.4550937
34.34666667,12.2,78.48333333,1.433333333,13.49,0.769842294,377.6250198,13.1972168,167.4550937
325.215,19.635,86.4025,1.8275,14.3475,0.839215054,387.3077126,13.35750688,172.8122742
325.215,19.635,86.4025,1.8275,14.3475,0.839215054,387.3077126,13.35750688,172.8122742
49.28,11.58,84.00666667,1.453333333,12.20666667,0.784630824,387.3077126,13.35750688,172.8122742
437.485,19.335,89.4675,1.9025,12.8525,0.945376344,499.470926,15.03005274,228.0014507
437.485,19.335,89.4675,1.9025,12.8525,0.945376344,499.470926,15.03005274,228.0014507
37.79333333,11.93,81.46333333,1.476666667,12.38,0.811089606,499.470926,15.03005274,228.0014507
364.685,19.44,86.815,1.7725,14.4325,0.888943548,504.5160868,15.10558064,231.473554
364.685,19.44,86.815,1.7725,14.4325,0.888943548,504.5160868,15.10558064,231.473554
15.52333333,11.60666667,80.95,1.473333333,12.89666667,0.762544803,504.5160868,15.10558064,231.473554
401.32,19.78,90.1075,2.07,13.5275,0.922096774,509.6122089,15.18148808,234.998532
401.32,19.78,90.1075,2.07,13.5275,0.922096774,509.6122089,15.18148808,234.998532
48.92,12.30333333,84.03,1.56,13.47,0.812197133,509.6122089,15.18148808,234.998532
332.5975,19.96,88.9925,1.8375,15.035,0.89758871,514.759807,15.25777696,238.5771898
332.5975,19.96,88.9925,1.8375,15.035,0.89758871,514.759807,15.25777696,238.5771898
